PAYS,CAPITALE,Niveau,CONTINENT
Tadjikistan,Douchanb?,10,AsiePacif
Tanzanie,Dodoma,10,Afrique
Tha?lande,Bangkok,10,AsiePacif
Togo,Lom?,10,Afrique
Tonga,Nuku'Alofa,10,AsiePacif
Trinidad et Tobago,Port d'Espagne,10,Ameriques
Tunisie,Tunis,1,Afrique
Turquie,Ankara,2,Europe
Turkm?nistan,Achkhabad,10,AsiePacif
Turks et Caicos,Grand Turk,10,Ameriques
Tuvalu,Funafuti,10,AsiePacif
Ouganda,Kampala,10,Afrique
Ukraine,Kiev,10,Europe
Emirats arabes unis,Abu Dhabi,10,AsiePacif
Royaume-Uni,Londres,1,Europe
Etats-Unis,Washington,10,Ameriques
Uruguay,Montevideo,10,Ameriques
Ouzb?kistan,Tachkent,10,AsiePacif
Vanuatu,Port-Vila,10,AsiePacif
Vatican,Vatican,2,Europe
V?n?zuela,Caracas,10,Ameriques
Vietnam,Hanoi,1,AsiePacif
Samoa Orientale,Apia,10,AsiePacif
Yemen,Sanaa,10,AsiePacif
Serbie,Belgrade,10,Europe
R?publique d?mocratique du Congo,Kinshasa,10,Afrique
Zambie,Lusaka,10,Afrique
Zimbabw?,Harar?,10,Afrique
Pologne,Varsovie,10,Europe
Bi?lorussie,Minsk,10,Europe
